"","Year","Population","Violent Crime rate","Murder and nonnegligent manslaughter rate","Legacy rape rate /1","Revised rape rate /2","Robbery rate","Aggravated assault rate","State"
"1","2000","4447100","486.2","7.4","33.3","","128.2","317.2","Alabama"
"2","2001","4468912","438.2","8.5","30.6","","125","274.1","Alabama"
"3","2002","4478896","445","6.8","37.2","","133.1","268","Alabama"
"4","2003","4503726","429.2","6.6","36.8","","134.1","251.7","Alabama"
"5","2004","4525375","427","5.6","38.5","","133.5","249.4","Alabama"
"6","2005","4548327","433","8.2","34.4","","141.7","248.3","Alabama"
"7","2006","4599030","425.2","8.3","35.8","","153.6","227.5","Alabama"
"8","2007","4627851","448.9","8.9","33.4","","159.9","246.7","Alabama"
"9","2008","4661900","452.8","7.5","34.7","","157.6","253","Alabama"
"10","2009","4708708","450.1","6.8","31.9","","133.1","278.3","Alabama"
"11","2010","4785401","383.7","5.7","28.3","","101.6","248","Alabama"
"12","2011","4803689","419.8","6.2","28.5","","102.1","282.9","Alabama"
"13","2012","4817528","450.3","7.1","26.9","","104.2","312.1","Alabama"
"14","2013","4833996","431","7.2","30","42.5","96.1","285.2","Alabama"
"15","2014","4849377","427.4","5.7","29.6","41.3","96.9","283.4","Alabama"
"16","2000","626932","566.9","4.3","79.3","","78.2","405.1","Alaska"
"17","2001","633630","589.5","6.2","79.1","","81.1","423.1","Alaska"
"18","2002","641482","565.4","5.1","79.7","","76.2","404.4","Alaska"
"19","2003","648280","598","6","93.3","","68.8","429.9","Alaska"
"20","2004","657755","632.3","5.6","84.8","","68","473.9","Alaska"
"21","2005","663253","632","4.8","81.1","","81","465.4","Alaska"
"22","2006","670053","688","5.4","76.4","","89.5","516.7","Alaska"
"23","2007","683478","661.3","6.3","79.7","","85","490.3","Alaska"
"24","2008","686293","652.1","3.9","65.1","","94","489","Alaska"
"25","2009","698473","633.4","3.1","73.4","","93.6","463.2","Alaska"
"26","2010","714146","635.3","4.3","74.6","","83.2","473.2","Alaska"
"27","2011","723860","610.1","4.1","60.2","","79.6","466.1","Alaska"
"28","2012","730307","604.1","4.1","79.8","","86.3","433.9","Alaska"
"29","2013","737259","638.7","4.6","89.1","125.5","84.5","424.1","Alaska"
"30","2014","736732","635.8","5.6","75.3","104.7","85.4","440.2","Alaska"
"31","2000","5130632","531.7","7","30.7","","146.3","347.7","Arizona"
"32","2001","5306966","540.3","7.5","28.6","","167.1","337.1","Arizona"
"33","2002","5441125","554.5","7.1","29.6","","147","370.8","Arizona"
"34","2003","5579222","513.3","7.9","33.3","","136.6","335.6","Arizona"
"35","2004","5739879","504.4","7.2","33","","134.5","329.6","Arizona"
"36","2005","5953007","512","7.5","33.7","","144.1","326.7","Arizona"
"37","2006","6166318","542.6","8.6","39.7","","153.9","340.3","Arizona"
"38","2007","6338755","518","8.6","37.1","","154","318.2","Arizona"
"39","2008","6500180","485.6","7.1","33.8","","150.9","293.8","Arizona"
"40","2009","6595778","426.5","5.8","34.6","","124.3","261.8","Arizona"
"41","2010","6413158","413.6","6.4","34.2","","108.4","264.7","Arizona"
"42","2011","6467315","414.2","6.1","38.6","","110.5","259","Arizona"
"43","2012","6551149","428.6","5.5","34.8","","112.7","275.6","Arizona"
"44","2013","6634997","415.6","5.4","35.3","47.8","100.3","262.1","Arizona"
"45","2014","6731484","399.9","4.7","36.6","50.2","92.8","252.1","Arizona"
"46","2000","2673400","445.3","6.3","31.7","","74.8","332.4","Arkansas"
"47","2001","2694698","452.4","5.5","33.1","","80.9","332.8","Arkansas"
"48","2002","2706268","425","5.2","27.9","","93.3","298.6","Arkansas"
"49","2003","2727774","456.4","6.6","33.4","","81.6","334.7","Arkansas"
"50","2004","2750000","502.3","6.4","43","","86.3","366.7","Arkansas"
"51","2005","2775708","528","6.8","43.3","","91.2","387.2","Arkansas"
"52","2006","2810872","552.8","7.3","47.1","","97.8","400.6","Arkansas"
"53","2007","2834797","537.1","7","45.6","","109.5","374.9","Arkansas"
"54","2008","2855390","513","5.8","51.2","","97.3","358.8","Arkansas"
"55","2009","2889450","515.8","6.2","47.7","","89.2","372.8","Arkansas"
"56","2010","2921588","503.5","4.6","45.2","","81.1","372.6","Arkansas"
"57","2011","2938582","482.3","5.4","41.9","","80.2","354.8","Arkansas"
"58","2012","2949828","469.6","5.9","41.8","","78.3","343.5","Arkansas"
"59","2013","2958765","463.2","5.3","38.4","50.4","76.4","331.1","Arkansas"
"60","2014","2966369","480.1","5.6","39.8","59.4","69.1","346","Arkansas"
"61","2000","33871648","621.6","6.1","28.9","","177.9","408.7","California"
"62","2001","34600463","615.2","6.4","28.8","","186.7","393.3","California"
"63","2002","35001986","595.4","6.8","29.1","","185.6","373.8","California"
"64","2003","35462712","579.6","6.8","28.2","","179.8","364.8","California"
"65","2004","35842038","527.8","6.7","26.8","","172.3","322","California"
"66","2005","36154147","526","6.9","26","","176","317.1","California"
"67","2006","36457549","533.5","6.8","25.3","","195.1","306.2","California"
"68","2007","36553215","524.1","6.2","24.7","","193.4","299.7","California"
"69","2008","36756666","504.2","5.8","24.2","","188.8","285.4","California"
"70","2009","36961664","473.3","5.3","23.6","","173.4","271","California"
"71","2010","37338198","439.6","4.8","22.3","","155.6","256.8","California"
"72","2011","37683933","411.2","4.8","20.3","","144.1","242","California"
"73","2012","37999878","423.5","5","20.6","","148.7","249.2","California"
"74","2013","38431393","402.6","4.5","19.4","26.9","139.6","231.7","California"
"75","2014","38802500","396.1","4.4","21.6","29.7","125.5","236.6","California"
"76","2000","4301261","334","3.1","41.2","","70.5","219.1","Colorado"
"77","2001","4430989","349.6","3.6","43.6","","80.2","222.3","Colorado"
"78","2002","4501051","352.9","4","45.9","","79.5","223.5","Colorado"
"79","2003","4547633","346.5","4.1","42.1","","82.2","218.2","Colorado"
